model_key,context_length,compression_ratio,layer,lag,overlap_mean,overlap_std,jaccard_mean,sample_count
mistral_7b_instruct_v03,8192,0.3,24,256,0.8033797144889832,,0.6879037022590637,1
mistral_7b_instruct_v03,8192,0.3,24,512,0.7648415565490723,,0.648303747177124,1
mistral_7b_instruct_v03,8192,0.3,24,1024,0.7082562446594238,,0.5975515842437744,1
mistral_7b_instruct_v03,8192,0.3,25,1,0.9083892107009888,,0.8334241509437561,1
mistral_7b_instruct_v03,8192,0.3,25,2,0.8874949216842651,,0.7991698980331421,1
mistral_7b_instruct_v03,8192,0.3,25,4,0.8747724294662476,,0.7789416313171387,1
mistral_7b_instruct_v03,8192,0.3,25,8,0.8665353655815125,,0.7661389112472534,1
mistral_7b_instruct_v03,8192,0.3,25,16,0.8585603833198547,,0.7542489171028137,1
mistral_7b_instruct_v03,8192,0.3,25,32,0.8504000306129456,,0.7428534626960754,1
mistral_7b_instruct_v03,8192,0.3,25,64,0.8394216895103455,,0.7284684777259827,1
mistral_7b_instruct_v03,8192,0.3,25,128,0.8203574419021606,,0.7044883966445923,1
mistral_7b_instruct_v03,8192,0.3,25,256,0.8002648949623108,,0.6833832859992981,1
mistral_7b_instruct_v03,8192,0.3,25,512,0.7622731328010559,,0.6446784734725952,1
mistral_7b_instruct_v03,8192,0.3,25,1024,0.7082319259643555,,0.5974607467651367,1
mistral_7b_instruct_v03,8192,0.3,26,1,0.8980439305305481,,0.8160997033119202,1
mistral_7b_instruct_v03,8192,0.3,26,2,0.8741326332092285,,0.7777592539787292,1
mistral_7b_instruct_v03,8192,0.3,26,4,0.8591434955596924,,0.7545918226242065,1
mistral_7b_instruct_v03,8192,0.3,26,8,0.8518881797790527,,0.7436229586601257,1
mistral_7b_instruct_v03,8192,0.3,26,16,0.8444111943244934,,0.7327682375907898,1
mistral_7b_instruct_v03,8192,0.3,26,32,0.8371745347976685,,0.7230217456817627,1
mistral_7b_instruct_v03,8192,0.3,26,64,0.8255822062492371,,0.7079970836639404,1
mistral_7b_instruct_v03,8192,0.3,26,128,0.8076364994049072,,0.6860457062721252,1
mistral_7b_instruct_v03,8192,0.3,26,256,0.7895125150680542,,0.6680722832679749,1
mistral_7b_instruct_v03,8192,0.3,26,512,0.7534594535827637,,0.6325040459632874,1
mistral_7b_instruct_v03,8192,0.3,26,1024,0.6982390880584717,,0.584115743637085,1
mistral_7b_instruct_v03,8192,0.3,27,1,0.9043135643005372,,0.8259539604187012,1
mistral_7b_instruct_v03,8192,0.3,27,2,0.8789448142051697,,0.784772515296936,1
mistral_7b_instruct_v03,8192,0.3,27,4,0.8598732948303223,,0.7550936937332153,1
