method,token_length,subword_ppl,avg_nll,subword_ppl_all_targets,avg_nll_all_targets,target_tokens_scored,target_tokens_scored_all,num_books,target_tokens,include_first_target,compression_ratio,stride,model,pg19_source_dataset,physical_device
chunkkv,5120,9.433939,2.24431373,9.416415,2.24245442,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,5632,9.096076,2.20784314,9.12853,2.21140469,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,6144,10.949933,2.39333333,10.906982,2.38940315,5100,5120,20,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,6656,10.365607,2.33849329,10.374239,2.33932568,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,7168,9.643208,2.26625387,9.646222,2.26656638,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,7680,9.791624,2.28152735,9.794774,2.28184894,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,8192,9.356953,2.23611971,9.373592,2.23789635,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,8704,9.779506,2.28028896,9.793127,2.28168076,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,9216,9.727166,2.2749226,9.753766,2.27765345,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,9728,10.066215,2.30918473,10.042792,2.30685513,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,10240,9.803758,2.28276574,9.803204,2.28270928,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,10752,10.638713,2.36449948,10.642537,2.36485889,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,11264,9.938221,2.29638803,9.950192,2.29759186,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,11776,9.18664,2.21775026,9.215712,2.2209099,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,12288,10.103682,2.3128999,10.099268,2.31246292,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,12800,9.77547,2.27987616,9.744263,2.27667867,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,13312,9.260887,2.22579979,9.26769,2.22653416,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,13824,9.512736,2.25263158,9.49083,2.25032603,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,14336,9.079195,2.20598555,9.099827,2.20825539,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,14848,9.203721,2.21960784,9.23493,2.222993,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,15360,8.766151,2.17089783,8.749936,2.16904644,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,15872,9.426737,2.24355005,9.420874,2.24292783,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,16384,9.280021,2.22786378,9.281617,2.22803583,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,16896,8.290997,2.11517028,8.300623,2.11633052,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,17408,9.655158,2.26749226,9.68956,2.271049,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,17920,9.096076,2.20784314,9.116556,2.21009208,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,18432,9.135588,2.2121775,9.158439,2.2146757,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,18944,8.695871,2.1628483,8.672238,2.16012691,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,19456,9.025013,2.2,9.023087,2.19978646,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,19968,9.50881,2.25221878,9.515807,2.25295433,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,20480,9.199922,2.21919505,9.203586,2.21959322,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,20992,9.844311,2.2868937,9.850874,2.28756017,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,21504,10.542534,2.35541796,10.520684,2.35334323,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,22016,10.04546,2.30712074,10.071703,2.30972981,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,22528,9.532391,2.25469556,9.526403,2.25406717,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,23040,8.633279,2.15562436,8.670793,2.15996031,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,23552,8.222829,2.10691434,8.231146,2.10792529,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,24064,9.109228,2.20928793,9.078829,2.20594521,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,24576,9.038062,2.20144479,9.041522,2.20182751,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,25088,8.919459,2.18823529,8.930879,2.18951484,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,25600,9.587639,2.26047472,9.571746,2.25881568,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,26112,9.595558,2.26130031,9.600424,2.26180726,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
chunkkv,26624,9.909545,2.29349845,9.929033,2.29546309,4845,4864,19,256,False,0.5,512,/Tan/model/Llama-3.1-8B-Instruct,/Tan/dataset/pg19-test,GPU-4eac01c5-47d1-3958-95bb-98d357b8b9c3
