method,token_length,needle_depth,accuracy,samples,rouge_l_f1
block_wise,4096,90,0.6666666666666666,3,0.7180162340907499
block_wise,4096,100,0.0,3,0.26086956294896035
block_wise,4352,0,0.6666666666666666,3,0.5275400436145595
block_wise,4352,10,0.0,3,0.19217686590704888
block_wise,4352,20,0.0,3,0.20588651997262808
block_wise,4352,30,0.0,3,0.18041998922539904
block_wise,4352,40,0.0,3,0.180042175148491
block_wise,4352,50,1.0,3,0.7096774147762748
block_wise,4352,60,0.0,3,0.5666666619416666
block_wise,4352,70,0.3333333333333333,3,0.5976702468814435
block_wise,4352,80,1.0,3,0.7096774147762748
block_wise,4352,90,0.0,3,0.3549629989536976
block_wise,4352,100,0.0,3,0.3072463742326403
block_wise,4608,0,0.6666666666666666,3,0.6847058776823273
block_wise,4608,10,0.0,3,0.18698145445079448
block_wise,4608,20,0.0,3,0.7753623140772685
block_wise,4608,30,0.0,3,0.5357142811283541
block_wise,4608,40,0.3333333333333333,3,0.4850588622742838
block_wise,4608,50,0.6666666666666666,3,0.7231182749550165
block_wise,4608,60,1.0,3,0.7096774147762748
block_wise,4608,70,1.0,3,0.7096774147762748
block_wise,4608,80,1.0,3,0.7096774147762748
block_wise,4608,90,1.0,3,0.7096774147762748
block_wise,4608,100,0.0,3,0.26086956294896035
block_wise,4864,0,0.3333333333333333,3,0.513225801762925
block_wise,4864,10,0.0,3,0.37471544226842607
block_wise,4864,20,0.0,3,0.3602607661817463
block_wise,4864,30,0.0,3,0.34929077531995073
block_wise,4864,40,0.0,3,0.4044973496783239
block_wise,4864,50,0.0,3,0.455661371054741
block_wise,4864,60,0.0,3,0.1550278244502111
block_wise,4864,70,1.0,3,0.7096774147762748
block_wise,4864,80,0.3333333333333333,3,0.5833333285300927
block_wise,4864,90,0.0,3,0.4440321533916527
block_wise,4864,100,0.0,3,0.26086956294896035
block_wise,5120,0,0.0,3,0.49864024375928523
block_wise,5120,10,0.0,3,0.208315945645147
block_wise,5120,20,0.0,3,0.16226490114244227
block_wise,5120,30,0.0,3,0.20004267894059036
block_wise,5120,40,0.0,3,0.2979742572783046
block_wise,5120,50,0.0,3,0.208315945645147
block_wise,5120,60,0.0,3,0.24232025662840584
block_wise,5120,70,0.0,3,0.33390696220293664
block_wise,5120,80,0.6666666666666666,3,0.7231182749550165
block_wise,5120,90,1.0,3,0.7096774147762748
block_wise,5120,100,0.0,3,0.26086956294896035
block_wise,5376,0,0.0,3,0.552287576985214
block_wise,5376,10,0.0,3,0.22030200124381016
block_wise,5376,20,0.0,3,0.1709803873785981
block_wise,5376,30,0.0,3,0.3376939155773619
block_wise,5376,40,0.0,3,0.7068965471722652
block_wise,5376,50,0.6666666666666666,3,0.6635944656331628
block_wise,5376,60,0.3333333333333333,3,0.4346267694269303
block_wise,5376,70,0.3333333333333333,3,0.6791517276427603
block_wise,5376,80,0.6666666666666666,3,0.7231182749550165
block_wise,5376,90,0.0,3,0.42173202145280664
block_wise,5376,100,0.0,3,0.26086956294896035
block_wise,5632,0,0.0,3,0.4305555507523149
block_wise,5632,10,0.0,3,0.164643566730489
block_wise,5632,20,0.0,3,0.36895424361438073
block_wise,5632,30,0.0,3,0.3172844847009322
block_wise,5632,40,0.0,3,0.38170162690833
block_wise,5632,50,0.0,3,0.6969696921918044
block_wise,5632,60,0.6666666666666666,3,0.7231182749550165
block_wise,5632,70,0.0,3,0.47222221808770576
block_wise,5632,80,0.0,3,0.35457515865792816
block_wise,5632,90,0.3333333333333333,3,0.40213647707146566
block_wise,5632,100,0.0,3,0.26086956294896035
block_wise,5888,0,0.0,3,0.2028431324453993
